,pwm,left,right
192,63,0.23000000000000004,0.414
193,62,0.23000000000000004,0.41
194,61,0.22000000000000003,0.39200000000000007
195,60,0.21000000000000002,0.39
196,59,0.21000000000000002,0.39
197,58,0.21000000000000002,0.39
198,57,0.21000000000000002,0.37200000000000005
199,56,0.2,0.36
200,55,0.2,0.35
201,54,0.198,0.336
202,53,0.19,0.33
203,52,0.19,0.314
204,51,0.186,0.306
205,50,0.18,0.294
206,49,0.18,0.29
207,48,0.17400000000000002,0.272
208,47,0.17,0.26
209,46,0.17,0.26
210,45,0.168,0.242
211,44,0.164,0.23000000000000004
212,43,0.16,0.22000000000000003
213,42,0.16,0.20400000000000001
214,41,0.15,0.198
215,40,0.15,0.18
216,39,0.14,0.17
217,38,0.14,0.16
218,37,0.14,0.15
219,36,0.13,0.138
220,35,0.13,0.126
221,34,0.12,0.11000000000000001
222,33,0.12,0.1
223,32,0.062,0.082
224,31,0.06,0.07
225,30,0.062,0.06
226,29,0.098,0.05
227,28,0.09,0.04
228,27,0.062,0.002
229,26,0.057999999999999996,0.0
230,25,0.03,0.0
231,24,0.0,0.0
232,23,0.0,0.0
233,22,0.0,0.0
234,21,0.0,0.0
235,20,0.0,0.0
236,19,0.0,0.0
237,18,0.0,0.0
238,17,0.0,0.0
239,16,0.0,0.0
240,15,0.0,0.0
241,14,0.0,0.0
242,13,0.0,0.0
243,12,0.0,0.0
244,11,0.0,0.0
245,10,0.0,0.0
246,9,0.0,0.0
247,8,0.0,0.0
248,7,0.0,0.0
249,6,0.0,0.0
250,5,0.0,0.0
251,4,0.0,0.0
252,3,0.0,0.0
253,2,0.0,0.0
254,1,0.0,0.0
255,0,0.0,0.0
256,-255,0.0,-0.764
257,-254,0.0,-0.86
258,-253,0.0,-0.85
259,-252,0.0,-0.85
260,-251,0.0,-0.85
261,-250,0.0,-0.85
262,-249,0.0,-0.85
263,-248,0.0,-0.85
264,-247,0.0,-0.85
265,-246,0.0,-0.85
266,-245,0.0,-0.85
267,-244,0.0,-0.85
268,-243,0.0,-0.85
269,-242,0.0,-0.85
270,-241,0.0,-0.85
271,-240,0.0,-0.85
272,-239,0.0,-0.85
273,-238,0.0,-0.8480000000000001
274,-237,0.0,-0.85
275,-236,0.0,-0.85
276,-235,0.0,-0.85
277,-234,0.0,-0.85
278,-233,0.0,-0.85
279,-232,0.0,-0.85
280,-231,0.0,-0.85
281,-230,0.0,-0.85
282,-229,0.0,-0.8480000000000001
283,-228,0.0,-0.85
284,-227,0.0,-0.8480000000000001
285,-226,0.0,-0.85
286,-225,0.0,-0.844
287,-224,0.0,-0.8400000000000001
288,-223,0.0,-0.8400000000000001
289,-222,0.0,-0.8400000000000001
290,-221,0.0,-0.8400000000000001
291,-220,0.0,-0.8400000000000001
292,-219,0.0,-0.8400000000000001
293,-218,0.0,-0.8400000000000001
294,-217,0.0,-0.8400000000000001
295,-216,0.0,-0.8400000000000001
296,-215,0.0,-0.8400000000000001
297,-214,0.0,-0.8400000000000001
298,-213,0.0,-0.8400000000000001
299,-212,0.0,-0.8400000000000001
300,-211,0.0,-0.8400000000000001
301,-210,0.0,-0.8400000000000001
302,-209,0.0,-0.8379999999999999
303,-208,0.0,-0.8400000000000001
304,-207,0.0,-0.8400000000000001
305,-206,0.0,-0.8299999999999998
306,-205,0.0,-0.8320000000000001
307,-204,0.0,-0.8299999999999998
308,-203,0.0,-0.8320000000000001
309,-202,0.0,-0.8299999999999998
310,-201,0.0,-0.8299999999999998
311,-200,0.0,-0.8299999999999998
