,pwm,left,right
195,60,0.23000000000000004,0.388
196,59,0.23000000000000004,0.37
197,58,0.22200000000000003,0.36
198,57,0.22000000000000003,0.35200000000000004
199,56,0.22000000000000003,0.342
200,55,0.22000000000000003,0.332
201,54,0.21000000000000002,0.322
202,53,0.21000000000000002,0.31
203,52,0.21000000000000002,0.306
204,51,0.2,0.29
205,50,0.2,0.28200000000000003
206,49,0.2,0.272
207,48,0.19,0.26
208,47,0.19,0.25
209,46,0.19,0.238
210,45,0.182,0.23000000000000004
211,44,0.18,0.21200000000000002
212,43,0.18,0.202
213,42,0.17200000000000001,0.19
214,41,0.17,0.18
215,40,0.17,0.166
216,39,0.16,0.16
217,38,0.16,0.15
218,37,0.16,0.132
219,36,0.15,0.122
220,35,0.15,0.11199999999999999
221,34,0.14200000000000002,0.1
222,33,0.14,0.09
223,32,0.14,0.08
224,31,0.13,0.07
225,30,0.13,0.06
226,29,0.12,0.046000000000000006
227,28,0.11599999999999999,0.004
228,27,0.11000000000000001,0.0
229,26,0.11000000000000001,0.0
230,25,0.1,0.0
231,24,0.09,0.0
232,23,0.082,0.0
233,22,0.07200000000000001,0.0
234,21,0.062,0.0
235,20,0.05,0.0
236,19,0.04,0.0
237,18,0.03,0.0
238,17,0.002,0.0
239,16,0.0,0.0
240,15,0.0,0.0
241,14,0.0,0.0
242,13,0.0,0.0
243,12,0.0,0.0
244,11,0.0,0.0
245,10,0.0,0.0
246,9,0.0,0.0
247,8,0.0,0.0
248,7,0.0,0.0
249,6,0.0,0.0
250,5,0.0,0.0
251,4,0.0,0.0
252,3,0.0,0.0
253,2,0.0,0.0
254,1,0.0,0.0
255,0,0.0,0.0
256,-255,0.0,-0.746
257,-254,0.0,-0.8459999999999999
258,-253,0.0,-0.8400000000000001
259,-252,0.0,-0.8400000000000001
260,-251,0.0,-0.8400000000000001
261,-250,0.0,-0.8400000000000001
262,-249,0.0,-0.842
263,-248,0.0,-0.8400000000000001
264,-247,0.0,-0.842
265,-246,0.0,-0.8480000000000001
266,-245,0.0,-0.842
267,-244,0.0,-0.8400000000000001
268,-243,0.0,-0.8480000000000001
269,-242,0.0,-0.8459999999999999
270,-241,0.0,-0.8400000000000001
271,-240,0.0,-0.8400000000000001
272,-239,0.0,-0.8480000000000001
273,-238,0.0,-0.842
274,-237,0.0,-0.8400000000000001
275,-236,0.0,-0.8400000000000001
276,-235,0.0,-0.8400000000000001
277,-234,0.0,-0.8400000000000001
278,-233,0.0,-0.8400000000000001
279,-232,0.0,-0.8400000000000001
280,-231,0.0,-0.8400000000000001
281,-230,0.0,-0.8400000000000001
282,-229,0.0,-0.8320000000000001
283,-228,0.0,-0.8379999999999999
284,-227,0.0,-0.8400000000000001
285,-226,0.0,-0.834
286,-225,0.0,-0.8299999999999998
287,-224,0.0,-0.8299999999999998
288,-223,0.0,-0.8299999999999998
289,-222,0.0,-0.8299999999999998
290,-221,0.0,-0.8299999999999998
291,-220,0.0,-0.8299999999999998
292,-219,0.0,-0.8299999999999998
